city,temperature,carbon_intensity,date_time
Paris,2.36,72.0,2025-02-11 23:48:04
Paris,2.36,72.0,2025-02-11 23:46:07
Paris,2.36,72.0,2025-02-11 23:46:07
Paris,2.36,72.0,2025-02-11 23:46:07
Paris,2.36,72.0,2025-02-11 23:46:07
Paris,2.36,72.0,2025-02-11 23:48:36
Paris,2.36,72.0,2025-02-11 23:48:36
Paris,2.36,72.0,2025-02-11 23:48:36
Paris,2.36,66.0,2025-02-11 23:48:36
Paris,2.36,66.0,2025-02-11 23:48:36
Paris,2.36,66.0,2025-02-11 23:53:12
Paris,2.36,66.0,2025-02-11 23:53:12
Paris,2.36,66.0,2025-02-11 23:53:12
Paris,2.36,66.0,2025-02-12 00:00:39
Paris,2.36,66.0,2025-02-12 00:00:39
Paris,2.36,66.0,2025-02-12 00:00:39
Paris,2.36,66.0,2025-02-12 00:00:39
Paris,4.97,66.0,2025-02-12 12:01:46
Paris,4.97,66.0,2025-02-12 12:01:46
Paris,5.13,66.0,2025-02-12 12:22:20
Paris,5.13,66.0,2025-02-12 12:22:20
Paris,5.13,66.0,2025-02-12 12:22:20
Paris,5.13,66.0,2025-02-12 12:20:02
Paris,5.13,66.0,2025-02-12 12:18:27
Paris,5.13,66.0,2025-02-12 12:18:27
Paris,5.13,66.0,2025-02-12 12:18:27
Paris,5.13,66.0,2025-02-12 12:29:30
Paris,5.13,66.0,2025-02-12 12:28:52
Paris,5.13,66.0,2025-02-12 12:34:37
Paris,5.13,66.0,2025-02-12 12:34:37
Paris,5.13,66.0,2025-02-12 12:34:37
Dakar,21.07,66.0,2025-02-12 12:36:52
Paris,5.16,69.0,2025-02-12 13:01:20
Paris,5.16,69.0,2025-02-12 13:01:20
Paris,5.35,69.0,2025-02-12 13:05:01
Paris,5.35,69.0,2025-02-12 13:05:01
Paris,5.35,69.0,2025-02-12 13:05:01
Paris,5.35,69.0,2025-02-12 13:05:01
Paris,5.35,69.0,2025-02-12 13:05:01
Paris,5.35,69.0,2025-02-12 13:06:23
Paris,5.35,69.0,2025-02-12 13:06:23
Paris,5.32,69.0,2025-02-12 13:24:59
