zone,power_Consumption_Breakdown,power_Production_Breakdown,datetime
France Métropolitaine,"{""nuclear"":44542,""geothermal"":0,""biomass"":1045,""coal"":710,""wind"":2918,""solar"":0,""hydro"":9855,""gas"":6868,""oil"":351,""unknown"":50,""hydro discharge"":3424,""battery discharge"":0}","{""nuclear"":46681,""geothermal"":null,""biomass"":997,""coal"":487,""wind"":2656,""solar"":0,""hydro"":10313,""gas"":6608,""oil"":367,""unknown"":null,""hydro discharge"":3606,""battery discharge"":-19}",2025-02-11 21:00:00
Corse,"{""nuclear"":0,""geothermal"":0,""biomass"":1,""coal"":15,""wind"":1,""solar"":0,""hydro"":78,""gas"":14,""oil"":107,""unknown"":0,""hydro discharge"":1,""battery discharge"":2}","{""nuclear"":null,""geothermal"":null,""biomass"":0,""coal"":null,""wind"":0,""solar"":0,""hydro"":77,""gas"":0,""oil"":106,""unknown"":null,""hydro discharge"":null,""battery discharge"":2}",2025-02-11 21:00:00
France Métropolitaine,"{""nuclear"":44542,""geothermal"":0,""biomass"":1045,""coal"":710,""wind"":2918,""solar"":0,""hydro"":9855,""gas"":6868,""oil"":351,""unknown"":50,""hydro discharge"":3424,""battery discharge"":0}","{""nuclear"":46681,""geothermal"":null,""biomass"":997,""coal"":487,""wind"":2656,""solar"":0,""hydro"":10313,""gas"":6608,""oil"":367,""unknown"":null,""hydro discharge"":3606,""battery discharge"":-19}",2025-02-11 21:00:00
Corse,"{""nuclear"":0,""geothermal"":0,""biomass"":1,""coal"":15,""wind"":1,""solar"":0,""hydro"":78,""gas"":14,""oil"":107,""unknown"":0,""hydro discharge"":1,""battery discharge"":2}","{""nuclear"":null,""geothermal"":null,""biomass"":0,""coal"":null,""wind"":0,""solar"":0,""hydro"":77,""gas"":0,""oil"":106,""unknown"":null,""hydro discharge"":null,""battery discharge"":2}",2025-02-11 21:00:00
France Métropolitaine,"{""nuclear"":44542,""geothermal"":0,""biomass"":1045,""coal"":710,""wind"":2918,""solar"":0,""hydro"":9855,""gas"":6868,""oil"":351,""unknown"":50,""hydro discharge"":3424,""battery discharge"":0}","{""nuclear"":46681,""geothermal"":null,""biomass"":997,""coal"":487,""wind"":2656,""solar"":0,""hydro"":10313,""gas"":6608,""oil"":367,""unknown"":null,""hydro discharge"":3606,""battery discharge"":-19}",2025-02-11 21:00:00
Corse,"{""nuclear"":0,""geothermal"":0,""biomass"":1,""coal"":15,""wind"":1,""solar"":0,""hydro"":78,""gas"":14,""oil"":107,""unknown"":0,""hydro discharge"":1,""battery discharge"":2}","{""nuclear"":null,""geothermal"":null,""biomass"":0,""coal"":null,""wind"":0,""solar"":0,""hydro"":77,""gas"":0,""oil"":106,""unknown"":null,""hydro discharge"":null,""battery discharge"":2}",2025-02-11 21:00:00
France Métropolitaine,"{""nuclear"":43369,""geothermal"":0,""biomass"":1059,""coal"":786,""wind"":3204,""solar"":0,""hydro"":9004,""gas"":6679,""oil"":109,""unknown"":50,""hydro discharge"":1491,""battery discharge"":13}","{""nuclear"":46707,""geothermal"":null,""biomass"":996,""coal"":453,""wind"":2884,""solar"":0,""hydro"":9738,""gas"":6429,""oil"":111,""unknown"":null,""hydro discharge"":1618,""battery discharge"":14}",2025-02-11 22:00:00
Corse,"{""nuclear"":0,""geothermal"":0,""biomass"":1,""coal"":12,""wind"":1,""solar"":0,""hydro"":75,""gas"":13,""oil"":107,""unknown"":1,""hydro discharge"":0,""battery discharge"":0}","{""nuclear"":null,""geothermal"":null,""biomass"":0,""coal"":null,""wind"":0,""solar"":0,""hydro"":75,""gas"":0,""oil"":107,""unknown"":null,""hydro discharge"":null,""battery discharge"":0}",2025-02-11 22:00:00
France Métropolitaine,"{""nuclear"":43369,""geothermal"":0,""biomass"":1059,""coal"":786,""wind"":3204,""solar"":0,""hydro"":9004,""gas"":6679,""oil"":109,""unknown"":50,""hydro discharge"":1491,""battery discharge"":13}","{""nuclear"":46707,""geothermal"":null,""biomass"":996,""coal"":453,""wind"":2884,""solar"":0,""hydro"":9738,""gas"":6429,""oil"":111,""unknown"":null,""hydro discharge"":1618,""battery discharge"":14}",2025-02-11 22:00:00
Corse,"{""nuclear"":0,""geothermal"":0,""biomass"":1,""coal"":12,""wind"":1,""solar"":0,""hydro"":75,""gas"":13,""oil"":107,""unknown"":1,""hydro discharge"":0,""battery discharge"":0}","{""nuclear"":null,""geothermal"":null,""biomass"":0,""coal"":null,""wind"":0,""solar"":0,""hydro"":75,""gas"":0,""oil"":107,""unknown"":null,""hydro discharge"":null,""battery discharge"":0}",2025-02-11 22:00:00
France Métropolitaine,"{""nuclear"":44818,""geothermal"":0,""biomass"":960,""coal"":495,""wind"":2190,""solar"":4231,""hydro"":8283,""gas"":6334,""oil"":89,""unknown"":5,""hydro discharge"":1844,""battery discharge"":0}","{""nuclear"":48407,""geothermal"":null,""biomass"":998,""coal"":490,""wind"":2098,""solar"":4073,""hydro"":8800,""gas"":6325,""oil"":96,""unknown"":null,""hydro discharge"":2016,""battery discharge"":-4}",2025-02-12 11:00:00
Corse,"{""nuclear"":0,""geothermal"":0,""biomass"":1,""coal"":4,""wind"":0,""solar"":106,""hydro"":30,""gas"":9,""oil"":102,""unknown"":0,""hydro discharge"":0,""battery discharge"":0}","{""nuclear"":null,""geothermal"":null,""biomass"":0,""coal"":null,""wind"":0,""solar"":105,""hydro"":29,""gas"":0,""oil"":102,""unknown"":null,""hydro discharge"":null,""battery discharge"":0}",2025-02-12 11:00:00
France Métropolitaine,"{""nuclear"":44818,""geothermal"":0,""biomass"":960,""coal"":495,""wind"":2190,""solar"":4231,""hydro"":8283,""gas"":6334,""oil"":89,""unknown"":5,""hydro discharge"":1844,""battery discharge"":0}","{""nuclear"":48407,""geothermal"":null,""biomass"":998,""coal"":490,""wind"":2098,""solar"":4073,""hydro"":8800,""gas"":6325,""oil"":96,""unknown"":null,""hydro discharge"":2016,""battery discharge"":-4}",2025-02-12 11:00:00
Corse,"{""nuclear"":0,""geothermal"":0,""biomass"":1,""coal"":4,""wind"":0,""solar"":106,""hydro"":30,""gas"":9,""oil"":102,""unknown"":0,""hydro discharge"":0,""battery discharge"":0}","{""nuclear"":null,""geothermal"":null,""biomass"":0,""coal"":null,""wind"":0,""solar"":105,""hydro"":29,""gas"":0,""oil"":102,""unknown"":null,""hydro discharge"":null,""battery discharge"":0}",2025-02-12 11:00:00
France Métropolitaine,"{""nuclear"":44818,""geothermal"":0,""biomass"":960,""coal"":495,""wind"":2190,""solar"":4231,""hydro"":8283,""gas"":6334,""oil"":89,""unknown"":5,""hydro discharge"":1844,""battery discharge"":0}","{""nuclear"":48407,""geothermal"":null,""biomass"":998,""coal"":490,""wind"":2098,""solar"":4073,""hydro"":8800,""gas"":6325,""oil"":96,""unknown"":null,""hydro discharge"":2016,""battery discharge"":-4}",2025-02-12 11:00:00
Corse,"{""nuclear"":0,""geothermal"":0,""biomass"":1,""coal"":4,""wind"":0,""solar"":106,""hydro"":30,""gas"":9,""oil"":102,""unknown"":0,""hydro discharge"":0,""battery discharge"":0}","{""nuclear"":null,""geothermal"":null,""biomass"":0,""coal"":null,""wind"":0,""solar"":105,""hydro"":29,""gas"":0,""oil"":102,""unknown"":null,""hydro discharge"":null,""battery discharge"":0}",2025-02-12 11:00:00
France Métropolitaine,"{""nuclear"":44818,""geothermal"":0,""biomass"":960,""coal"":495,""wind"":2190,""solar"":4231,""hydro"":8283,""gas"":6334,""oil"":89,""unknown"":5,""hydro discharge"":1844,""battery discharge"":0}","{""nuclear"":48407,""geothermal"":null,""biomass"":998,""coal"":490,""wind"":2098,""solar"":4073,""hydro"":8800,""gas"":6325,""oil"":96,""unknown"":null,""hydro discharge"":2016,""battery discharge"":-4}",2025-02-12 11:00:00
Corse,"{""nuclear"":0,""geothermal"":0,""biomass"":1,""coal"":4,""wind"":0,""solar"":106,""hydro"":30,""gas"":9,""oil"":102,""unknown"":0,""hydro discharge"":0,""battery discharge"":0}","{""nuclear"":null,""geothermal"":null,""biomass"":0,""coal"":null,""wind"":0,""solar"":105,""hydro"":29,""gas"":0,""oil"":102,""unknown"":null,""hydro discharge"":null,""battery discharge"":0}",2025-02-12 11:00:00
